Period,Model,T,Violations_95,Rate_95,Kupiec_p_95,Pass_95,Violations_99,Rate_99,Kupiec_p_99,Pass_99
Full Test,"GARCH(1,1)-Normal",755,49,6.49%,0.0719,YES,13,1.72%,0.0706,YES
Full Test,"GARCH(1,1)-Student-t",755,23,3.05%,0.0081,NO,3,0.40%,0.0581,YES
Full Test,"GJR-GARCH(1,1)-Normal",755,55,7.28%,0.0068,NO,17,2.25%,0.003,NO
Full Test,"GJR-GARCH(1,1)-Student-t",755,24,3.18%,0.0141,NO,3,0.40%,0.0581,YES
Full Test,"EGARCH(1,1)-Normal",755,50,6.62%,0.0508,YES,13,1.72%,0.0706,YES
Full Test,"EGARCH(1,1)-Student-t",755,23,3.05%,0.0081,NO,4,0.53%,0.1537,YES
Full Test,HAR-RV,755,83,10.99%,0.0,NO,36,4.77%,0.0,NO
Bear Market 2022,"GARCH(1,1)-Normal",251,23,9.16%,0.0064,NO,7,2.79%,0.0195,NO
Bear Market 2022,"GARCH(1,1)-Student-t",251,10,3.98%,0.4446,YES,1,0.40%,0.2756,YES
Bear Market 2022,"GJR-GARCH(1,1)-Normal",251,26,10.36%,0.0006,NO,9,3.59%,0.0014,NO
Bear Market 2022,"GJR-GARCH(1,1)-Student-t",251,12,4.78%,0.8726,YES,1,0.40%,0.2756,YES
Bear Market 2022,"EGARCH(1,1)-Normal",251,26,10.36%,0.0006,NO,5,1.99%,0.164,YES
Bear Market 2022,"EGARCH(1,1)-Student-t",251,12,4.78%,0.8726,YES,1,0.40%,0.2756,YES
Bear Market 2022,HAR-RV,251,37,14.74%,0.0,NO,15,5.98%,0.0,NO
Recovery 2023-24,"GARCH(1,1)-Normal",501,26,5.19%,0.8465,YES,6,1.20%,0.6664,YES
Recovery 2023-24,"GARCH(1,1)-Student-t",501,13,2.59%,0.0067,NO,2,0.40%,0.1241,YES
Recovery 2023-24,"GJR-GARCH(1,1)-Normal",501,29,5.79%,0.4291,YES,8,1.60%,0.2167,YES
Recovery 2023-24,"GJR-GARCH(1,1)-Student-t",501,12,2.40%,0.003,NO,2,0.40%,0.1241,YES
Recovery 2023-24,"EGARCH(1,1)-Normal",501,24,4.79%,0.8284,YES,8,1.60%,0.2167,YES
Recovery 2023-24,"EGARCH(1,1)-Student-t",501,11,2.20%,0.0013,NO,3,0.60%,0.3294,YES
Recovery 2023-24,HAR-RV,501,46,9.18%,0.0001,NO,21,4.19%,0.0,NO
