Model,Confidence,Expected Viol.,Actual Viol.,N violations,Kupiec p,Kupiec Pass,Christoff. p,Christoff. Pass
"GARCH(1,1)-Normal",95%,5.0%,6.49%,49,0.0719,YES,0.4498,YES
"GARCH(1,1)-Normal",99%,1.0%,1.72%,13,0.0706,YES,0.4994,YES
"GARCH(1,1)-Student-t",95%,5.0%,3.05%,23,0.0081,NO,0.2289,YES
"GARCH(1,1)-Student-t",99%,1.0%,0.40%,3,0.0581,YES,0.877,YES
"GJR-GARCH(1,1)-Normal",95%,5.0%,7.28%,55,0.0068,NO,0.5708,YES
"GJR-GARCH(1,1)-Normal",99%,1.0%,2.25%,17,0.003,NO,0.3758,YES
"GJR-GARCH(1,1)-Student-t",95%,5.0%,3.18%,24,0.0141,NO,0.7894,YES
"GJR-GARCH(1,1)-Student-t",99%,1.0%,0.40%,3,0.0581,YES,0.877,YES
"EGARCH(1,1)-Normal",95%,5.0%,6.62%,50,0.0508,YES,0.8506,YES
"EGARCH(1,1)-Normal",99%,1.0%,1.72%,13,0.0706,YES,0.4994,YES
"EGARCH(1,1)-Student-t",95%,5.0%,3.05%,23,0.0081,NO,0.2289,YES
"EGARCH(1,1)-Student-t",99%,1.0%,0.53%,4,0.1537,YES,0.8364,YES
HAR-RV,95%,5.0%,10.99%,83,0.0,NO,0.9594,YES
HAR-RV,99%,1.0%,4.77%,36,0.0,NO,0.5349,YES
