Date,VaR_95,ES_95,VaR_99,ES_99,Model
2021-12-29,-1.6816475472212251,-2.108853867924752,-2.378386217632427,-2.7248327042755665,"GARCH(1,1)-Normal"
2021-12-30,-1.5179017800002232,-1.9035100697365288,-2.146797454221443,-2.459509674816895,"GARCH(1,1)-Normal"
2021-12-31,-1.4037512551577165,-1.7603607063413627,-1.985352188553529,-2.274547562027535,"GARCH(1,1)-Normal"
2022-01-03,-1.303195935981522,-1.634260279331238,-1.8431348817025897,-2.1116142394458097,"GARCH(1,1)-Normal"
2022-01-04,-1.2585913610082589,-1.5783243428058114,-1.7800497801097732,-2.0393398768135844,"GARCH(1,1)-Normal"
2022-01-05,-1.1613189688253602,-1.45634083869036,-1.6424755795549486,-1.8817259963776667,"GARCH(1,1)-Normal"
2022-01-06,-1.8093935656841358,-2.2690525288110077,-2.559059849376282,-2.9318240738547106,"GARCH(1,1)-Normal"
2022-01-07,-1.633862772036943,-2.0489298320339953,-2.3108032981920497,-2.6474053513182,"GARCH(1,1)-Normal"
2022-01-10,-1.518296720121451,-1.9040053405818531,-2.147356025571706,-2.460149610194751,"GARCH(1,1)-Normal"
2022-01-11,-1.3887958242717233,-1.741605992654465,-1.9642004372506021,-2.250314751025001,"GARCH(1,1)-Normal"
2022-01-12,-1.3998445528105414,-1.7554615439875838,-1.979826864870652,-2.2682173947228326,"GARCH(1,1)-Normal"
2022-01-13,-1.2865617461278422,-1.6134003341716874,-1.81960882955519,-2.08466127620608,"GARCH(1,1)-Normal"
2022-01-14,-1.5981870909090634,-2.004191088614366,-2.260346501558649,-2.589598789625065,"GARCH(1,1)-Normal"
2022-01-18,-1.4483294330080572,-1.8162635398096896,-2.0483999561916484,-2.3467791524724744,"GARCH(1,1)-Normal"
2022-01-19,-1.9052911190871804,-2.3893119296305816,-2.694689589208125,-3.0872102546298748,"GARCH(1,1)-Normal"
2022-01-20,-1.8688005734802589,-2.3435513132796704,-2.6430803141916086,-3.0280833393431967,"GARCH(1,1)-Normal"
2022-01-21,-1.8813734115713283,-2.3593181594793724,-2.6608623190366405,-3.0484555513876987,"GARCH(1,1)-Normal"
2022-01-24,-2.205582975180815,-2.7658900320253372,-3.119398091878931,-3.573783717460196,"GARCH(1,1)-Normal"
2022-01-25,-1.9772409451077533,-2.4795399141750964,-2.796449601198241,-3.203793089916467,"GARCH(1,1)-Normal"
2022-01-26,-2.0021007657498915,-2.5107151321948997,-2.8316093199429786,-3.2440743322136747,"GARCH(1,1)-Normal"
2022-01-27,-1.8038176957139753,-2.2620601629177806,-2.551173790070779,-2.9227892955061874,"GARCH(1,1)-Normal"
2022-01-28,-1.6835282413166213,-2.1112123341943416,-2.3810461191816334,-2.727880059107048,"GARCH(1,1)-Normal"
2022-01-31,-2.2461842108909473,-2.8168056196056956,-3.17682119435447,-3.6395713285917783,"GARCH(1,1)-Normal"
2022-02-01,-2.378399575663022,-2.982609021073145,-3.3638159078738186,-3.853804537288797,"GARCH(1,1)-Normal"
2022-02-02,-2.1663412482407467,-2.716679323290112,-3.0638977686009787,-3.510198966234984,"GARCH(1,1)-Normal"
2022-02-03,-2.0328147731083477,-2.5492317365359094,-2.8750487266785463,-3.293841319278219,"GARCH(1,1)-Normal"
2022-02-04,-2.5709023036463674,-3.224015208216555,-3.6360761896723335,-4.165723482336488,"GARCH(1,1)-Normal"
2022-02-07,-2.312146195531256,-2.8995246094883056,-3.270112488011948,-3.7464518537552305,"GARCH(1,1)-Normal"
2022-02-08,-2.09118470490438,-2.6224299858610833,-2.9576024351159806,-3.3884201740251463,"GARCH(1,1)-Normal"
2022-02-09,-1.9500398259799074,-2.445428613397816,-2.75797853932517,-3.1597181592837527,"GARCH(1,1)-Normal"
2022-02-10,-2.0009105195895396,-2.5092225154910075,-2.829925932084417,-3.2421457344708093,"GARCH(1,1)-Normal"
2022-02-11,-2.249720331823728,-2.8212400579152375,-3.1818223976710067,-3.6453010297885817,"GARCH(1,1)-Normal"
2022-02-14,-2.461273020162802,-3.0865356638886365,-3.4810254019391476,-3.988087296040538,"GARCH(1,1)-Normal"
2022-02-15,-2.221007191449293,-2.7852326214943592,-3.141212855294338,-3.598776117916294,"GARCH(1,1)-Normal"
2022-02-16,-2.2498338310364514,-2.8213823905069586,-3.181982921773515,-3.645484936557422,"GARCH(1,1)-Normal"
2022-02-17,-2.0126870578288134,-2.523990769550959,-2.8465817148529244,-3.261227673840655,"GARCH(1,1)-Normal"
2022-02-18,-2.3970839999434848,-3.0060400429177108,-3.390241645696515,-3.8840795675257165,"GARCH(1,1)-Normal"
2022-02-22,-2.2147867083378507,-2.7774318847159525,-3.1324151073216924,-3.5886968502085868,"GARCH(1,1)-Normal"
2022-02-23,-2.130151026849525,-2.6712953256218475,-3.012713247853942,-3.451558676844545,"GARCH(1,1)-Normal"
2022-02-24,-2.3522925852366856,-2.949869801828643,-3.326892293103016,-3.8115024618976485,"GARCH(1,1)-Normal"
