Date,GARCH_VaR95,GARCH_VaR99,HAR_RV_VaR95,HAR_RV_VaR99
2021-07-29,-8.651367128844635,-14.446921060886336,-6.93064010591937,-9.802136562163163
2021-07-30,-8.307755602445004,-13.87312405012775,-6.142950881454875,-8.68809266019357
2021-08-02,-8.559182234886771,-14.292981473514635,-6.9221243420942224,-9.790092554875304
2021-08-03,-8.24178849368281,-13.762965551625838,-5.753375993334145,-8.137109461500659
2021-08-04,-7.621466485421376,-12.727089608296149,-5.075456921242773,-7.1783155808230115
2021-08-05,-7.383294443697251,-12.329366030686504,-5.531185455894597,-7.822861144243105
2021-08-06,-7.83551134640188,-13.084523198157765,-5.926112870510651,-8.3814145233029
2021-08-09,-7.293778441498903,-12.179883226618013,-5.0417720745463965,-7.130674459318029
2021-08-10,-6.784977125240428,-11.330235726727103,-4.575113575075133,-6.470670438072624
2021-08-11,-6.3971678910170855,-10.682632947875245,-4.811889973243359,-6.805547816506948
2021-08-12,-5.99651768740055,-10.013587029643691,-4.40693750060783,-6.232815806577752
2021-08-13,-5.661696824096527,-9.454469550330684,-3.475644732617032,-4.915670672551233
2021-08-16,-6.14022696126648,-10.253567197441248,-4.001551047419578,-5.659470009671003
2021-08-17,-6.060008527157026,-10.119610405647814,-4.450579797933326,-6.294539940529776
2021-08-18,-5.685177821088199,-9.493680475600351,-4.347582439140567,-6.148868810446647
2021-08-19,-6.520749277502657,-10.889001549341632,-5.093803356840121,-7.204263294801198
2021-08-20,-6.318830408414868,-10.551817157676092,-5.465177358742799,-7.729504632780643
2021-08-23,-5.888609519963215,-9.833391142268345,-4.723268471455694,-6.680208735326734
2021-08-24,-5.500553596033742,-9.18537641618804,-4.200454440579097,-5.940782874374806
2021-08-25,-7.012967672428027,-11.71095722297083,-5.229899963544251,-7.3967473228524465
2021-08-26,-6.510506350867234,-10.871896882491809,-4.360498761787942,-6.167136612054524
2021-08-27,-7.445494479677462,-12.433233893003244,-4.819846352259682,-6.816800675184708
2021-08-30,-7.025108827146696,-11.731231741575389,-5.277328237579122,-7.463826035913949
2021-08-31,-6.754962999740669,-11.280115127826516,-5.624772583614479,-7.955223204940411
2021-09-01,-6.86539679970307,-11.464528569858258,-4.969871689608041,-7.028984372794
2021-09-02,-6.404927450049726,-10.695590638277503,-5.137699206420636,-7.266346032546141
2021-09-03,-5.962584807299746,-9.956922501034061,-4.081720565817232,-5.772855289449922
